title,address,district,city,description,area,bedroom,bathroom,price,price_change,house_direction,balcony_direction,legal_paper,furniture,coor
Bán cắt lỗ căn hộ 1PN + 1 42.9m2 giá 2.3 tỷ hỗ trợ phí sang tên tại Vinhomes Smart City,"['Dự án The Sapphire-Vinhomes Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"Tôi có căn hộ 46,3m² thiết kế 1PN + 1 tại Vinhomes Smart City. (DT TT 42,9m²).Căn hộ thuộc tầng 29, view ngoại khu, thoáng mát.Nội thất nguyên bản CĐT, khách mua chỉ cần setup thêm nội thất.Căn hộ về cơ bản là vẫn mới, ko phải sửa sang gì.Đã có sổ, yên tâm pháp lý.Lh 0913 329 ***",42.9,1 phòng,1 phòng,2.3,0.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,21.0062160491943 105.736473083496
"Chính chủ bán 2pn+: tòa I4 - 63.9m2, 3.2 tỷ - Imperia Smart City, mua nhanh gia lộc thêm 50tr","['Dự án Imperia Smart City', 'Đường Đại lộ Thăng Long', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"Chính chủ rất cần bán:Căn hộ tại tòa I4, chung cư Imperia Smart City - Căn 2pn+, DT 63.92m², tầng đẹp, view đẹp, nội thất đầy đủ, nhà đang ở.Giá bán 3.2 tỷ (có gia lộc)Mình cần bán rất gấp và ở nước ngoài về nên cũng không rõ giá thị trường, nên chào bán giá gốc để nhanh chóng)Liên hệ xem nhà và trao đổi giá cả: Cô Nhung 091241800",63.9,2 phòng,2 phòng,3.2,35.4,,,,,20.999277114868164 105.73811340332031
Giá chuẩn! Căn hộ Licogi 13 - vị trí tiện lợi - TT Thanh Xuân - 130 m2 * 3 PN + 2VS,"['Dự án Licogi 13 Tower', 'Đường Khuất Duy Tiến', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,"Căn hộ Trung Hòa Nhanh Chính - trung tâm Quận Cầu Giấy - Thanh Xuân - mặt đường Lê Văn Lương - vị trí đi lại thuận tiện.Mô tả:+ Nằm tại mặt đường Khuất Duy Tiến, Thanh Xuân, Hà Nội.+ Thiết kế 3 phòng ngủ, 2 vệ sinh.+ Thiết kế cực đẹp, chủ hoàn thiện toàn đồ xịn sò. Để lại 80% nội thất. Vào nhà cực đẹp, vượng khí, mùa hè mát mẻ, mùa đông ấm áp.+ Diện tích sổ đỏ 130 m².+ Sổ đỏ lâu dài.+ Giá chỉ 5,8 tỷ để sở hữu 1 căn hộ Thanh Xuân siêu tiện ích.Liên hệ (call/zalo/mess) 0902 829 *** Đông.",130.0,3 phòng,2 phòng,5.8,40.9,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,20.99883270263672 105.79779815673828
"Sun Group ra mắt KĐT 420ha tại Lam Hạ, Phủ Lý đáng sống nhất phía nam Hà Nội nhận Booking CK ngay","['Đường Quốc lộ 21A(Quốc lộ 21)', 'Phường Lam Hạ']",Phủ Lý,Hà Nam,"Thông tin dự án: 0966 978 ***.Tên dự án: Sun Group Hà Nam Chủ đầu tư: Tập đoàn Sun Group (Công ty cổ phần tập đoàn Mặt Trời) Địa chỉ: Nằm trên QL21A, Huyện Kim Bảng, Tỉnh Hà Nam Quy hoạch: 405ha Tiện ích sáng giá: Khu cáp treo, tàu hỏa leo núi; thác Mặt trời; khu tổ hợp sinh thái, nghỉ dưỡng, vui chơi giải trí cao cấp; khu đô thị nghỉ dưỡng ven núi Mức vốn đầu tư: ~ 35.000 tỷ VNĐ Loại hình BĐS: Shophouse, Biệt thự, căn hộ, khu nghỉ dưỡng.Số lượng sản phẩm dự án Sun Hà Nam:40 toà nhà cao 9 tầng, cung ứng khoảng 2.200 căn hộ.2.200 sản phẩm thấp tầng.Địa chỉ của Sun Group Hà Nam hiện ở huyện Kim Bảng, kế cận trục đường giao thông quốc lộ 21A, đây được xem là tọa độ đắc địa khi hội tụ cả 3 yếu tố là: Giao thông thuận tiện, thiên nhiên hùng vĩ, liên kết du lịch, văn hoá vô cùng đa dạng. Dưới đây là những điểm tiếp giáp của khu nghỉ dưỡng Sun Group Hà Nam:Hướng Tây: Tiếp giáp Hòa Bình Hướng Đông: Giáp với tỉnh Hưng Yên Hướng Nam: Kế cận với tỉnh Nam Định Hướng Đông Bắc: Tiệm cận với khu vực Thái Bình.Vị trí siêu liên kết đến từ dự án Sun Hà Nam:40 phút lái xe đến Thủ đô Hà Nội cách 45km Khoảng 40 phút đến Hưng Yên ~ 39km Từ Thanh Hóa di chuyển hết 2 giờ đồng hồ ~ 100km Cách Hòa Bình: 50km ~ 1 tiếng lái xe Chùa Tam Chúc: 5 phút (3km) Chùa Địa Tạng Phi Lai Tự: 40 phút (30km) Thành phố Phủ Lý: 30 phút (25km).Mặt bằng thiết kế khu nghỉ dưỡng Sun Group Hà Nam.Dự án Sun Hà Nam có quy hoạch mặt bằng lên tới 400ha, bao gồm Công viên chủ đề Sunworld, khu nhà ở, khu nghỉ dưỡng và khu đô thị. Khu đô thị mới Bắc Châu Giang có tổng diện tích 405ha và bao gồm:Công viên chủ đề và nhà ở trên diện tích 26,05ha, tạo không gian sống tiện nghi và gần gũi với thiên nhiên. Khu đô thị sinh thái trên 176ha, tập trung vào không gian sống xanh và bền vững với các tiện ích đồng bộ. Khu đô thị thời đại và đổi mới sáng tạo chiếm diện tích lớn nhất là 202,8ha, là trung tâm của sự sáng tạo và công nghệ cao, thúc đẩy vị thế của tỉnh trong kỷ nguyên công nghiệp mới.Các loại hình sản phẩm tại dự án Sun Group Hà Nam.Dự án bao gồm 1.200 căn biệt thự, 4.500 căn nhà phố thương mại và 40 tòa nhà cao 9 tầng với khoảng 15.000 căn hộ, cùng với các tiện ích như trường học, nhà văn hoá và bệnh viện.Hệ thống tiện ích phong phú của dự án Sun Group Hà Nam.Tiện ích nội khu Sun Group Hà Nam.Công viên chủ đề 20ha, Công viên cảnh quan công cộng 60ha, Trục đại lộ 150m dài 1,5km dẫn tới quảng trường bắn pháo hoa kết hợp các hoạt động giải trí ứng dụng công nghệ hiện đại Một số tiện ích khác: Bể bơi ngoài trời/trong nhà Bể sục thủy lực Mát xa Sân tập thể thao đa năng Phòng tập Gym Đường tản bộ Khu vui chơi.Tiện ích ngoại khu Sun Group Hà Nam.Hạ tầng xã hội: Trường học, nhà văn hoá, bệnh viện.Thông tin dự án: 0966 978 ***.",60.0,6 phòng,3 phòng,,,,,Sổ đỏ/ Sổ hồng,,20.5559284237668 105.932459133138
"Bất ngờ! Căn hộ N3 KĐT Đồng Tàu, 500m ra Vành Đai 3, full nội thất đẹp, 54m2 * 2PN + 1VS","['Đường Thịnh Liệt', 'Phường Thịnh Liệt']",Hoàng Mai,Hà Nội,"Chỉ hơn 2 tỷ có căn hộ 2PN - gần UBND Hoàng Mai - gần trường học - bên dưới là trụ sở cảnh sát - view nội khu.Mô tả:+ Tòa N3 Đồng Tàu nằm trên đường Thịnh Liệt có rất nhiều đường vào từ Vành Đai 3, Giải Phóng, Tân Mai. Gần UBND Hoàng Mai, sát trụ sở cảnh sát cơ động, TTTM Aeon Mall, gần công viên Yên sở. Vị trí rất đẹp, tiện ích bạt ngàn, giao thông thuận tiện.+ Khu vực hiếm có căn hộ hơn 1 tỷ bán.+ Tòa nhà đứng độc lập gồm 9 tầng + 1 tầng hầm nổi, 2 thang máy. Mật độ dân cư không quá lớn, dân số trẻ chủ yếu là dân văn phòng sinh sống.+ Diện tích sổ đỏ 54 m².+ Sổ đỏ lâu dài.+ Thiết kế: 1 Phòng khách + bếp, 2 phòng ngủ, 1 phòng tắm.+ Giá 2,65 tỷ.+ Ban công rộng, nhiều ánh sáng, view nội khu đẹp.Liên hệ (Call/Zalo/Mess) 0902 829 *** Đông.",54.0,2 phòng,1 phòng,2.65,66.7,Bắc,Nam,Sổ đỏ/ Sổ hồng.,Đầy đủ.,20.9710885 105.8444419
Giá chuẩn chủ nhà! Căn hộ H13 Vinaconex - vị trí tiện lợi - full đồ - 44 m2 * 1PN + 1VS,"['Ngõ 445', 'Đường Nguyễn Trãi', 'Phường Thanh Xuân Nam']",Thanh Xuân,Hà Nội,"Căn hộ H13 Vinaconex - trung tâm Quận Thanh Xuân - gần trường học - gần Royal City - vị trí đi lại thuận tiện.Mô tả:+ Nằm tại ngõ 445 Nguyễn Trãi, Thanh Xuân Nam, Quận Thanh Xuân.+ Thiết kế 1 phòng ngủ, 1 vệ sinh, có thể sửa thành 2PN _ 1VS.+ Thiết kế cực đẹp, chủ hoàn thiện toàn đồ xịn sò. Để lại 80% nội thất. Vào nhà cực đẹp, vượng khí, mùa hè mát mẻ, mùa đông ấm áp.+ Toà nhà thang bộ 5 tầng, hành lang rộng. An ninh đảm bảo.+ Diện tích sổ đỏ 44 m².+ Sổ đỏ lâu dài.+ Giá chỉ 2,05 tỷ để sở hữu 1 căn hộ H13 siêu tiện ích.Liên hệ (Call/Zalo/Mess) 0902 829 *** Đông.",44.0,1 phòng,1 phòng,2.05,6.4,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,20.9877606 105.8006384
Giá chuẩn chủ nhà! Căn hộ N3B Trung Hòa Nhân Chính - vị trí tiện lợi - full đồ - 55m2*2PN + 2VS,"['Dự án Trung Hòa Nhân Chính', 'Phố Hoàng Đạo Thúy', 'Phường Trung Hòa']",Cầu Giấy,Hà Nội,"Căn hộ Trung Hòa Nhân Chính - trung tâm Quận Cầu Giấy - gần trường học - gần công viên điều hòa hồ Thanh Xuân - vị trí đi lại thuận tiện.Mô tả:+ Nằm tại mặt tiền Lê Văn Lương, Thanh Xuân, Hà Nội.+ Thiết kế 2 phòng ngủ, 2 vệ sinh.+ Thiết kế cực đẹp, chủ hoàn thiện toàn đồ xịn sò. Để lại 80% nội thất. Vào nhà cực đẹp, vượng khí, mùa hè mát mẻ, mùa đông ấm áp.+ Toà nhà gồm 12 tầng, 2 thang máy, hành lang rộng. An ninh đảm bảo.+ Diện tích sổ đỏ 55 m².+ Sổ đỏ lâu dài.+ Giá chỉ 3,35 tỷ để sở hữu 1 căn hộ Trung Hòa Nhân Chính siêu tiện ích.Liên hệ (Call/Zalo/Mess) 0902 829 *** Đông.",55.0,2 phòng,2 phòng,3.35,42.8,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0083656311035 105.802909851074
"Bán nhanh CC Bắc Hà 219 Trung Kính, Cầu Giấy. DT 76m2, 2 ngủ, đầy đủ nội thất. Giá thật 4,8 tỷ","['Central Field Trung Kính', '219', 'Phố Trung Kính', 'Phường Yên Hòa']",Cầu Giấy,Hà Nội,"- Địa chỉ: 219 P. Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội.- Diện tích: 76m², thiết kế 2 ngủ 2wc.- Cửa Tây Bắc, ban công Đông Nam.- Để lại đầy đủ nội thất như hình.- Sẵn sổ, vào ở được luôn.- Cam kết giá thật: 4,8 tỷ.- Có ra lộc mạnh cho KH thiện chí.",76.0,2 phòng,2 phòng,4.8,33.3,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0209789276123 105.791061401367
"GoldSeason 2pn, 1wc 58m2. Giá 4 tỷ. Tầng cao, view đẹp. Thoáng mát. Lh: 0343,202.831","['Dự án GoldSeason', 'Đường Nguyễn Tuân', 'Phường Thanh Xuân Trung']",Thanh Xuân,Hà Nội,"Cần bán gấp GoldSeason, 2PN, 1WC, tầng cao, view đẹp. Nhà đẹp sạch sẽ.Giá 4 tỷ. Nhà đẹp, sạch sẽ. Thoáng mát.Do chuyển lên căn 3PN.",58.0,2 phòng,1 phòng,4.0,34.3,,,,,20.99477195739746 105.8061294555664
"Bán căn hộ Mỹ Đình Pearl - Châu Vân Liêm tầng trung, tòa P1 - Diện tích 82,9m2 (3N 2W)","['Dự án Mỹ Đình Pearl', 'Đường Châu Văn Liêm', 'Phường Phú Đô']",Nam Từ Liêm,Hà Nội,"Bán căn hộ Mỹ Đình Pearl - Châu Vân Liêm.- Tầng trung, tòa P1.- Diện tích 82,9m² (3N2W).- 5, x tỷ (bao phí).- Có sổ, nội thất full.Liên hệ: 0966 670 ***",84.0,3 phòng,2 phòng,,37.9,,,,,21.012432098388672 105.76739501953125
"Do di cư nên tôi, chính chủ cần bán gấp căn góc 65m2, tầng 9, chung cư N04, ngõ 49 Trần Đăng Ninh","['Ngõ 49', 'Đường Trần Đăng Ninh', 'Phường Dịch Vọng']",Cầu Giấy,Hà Nội,"Căn hộ vuông vắn, dt 65m², gồm 02 phòng ngủ, 1 vệ sinh, 1 phòng khách, 1 bếp, thiết kế vô cùng tâm huyết và đẹp; để lại toàn bộ thiết bị và nội thất bao gồm: Tivi Sony 75inch, tủ lạnh, máy giặt sấy, máy rửa bát, 3 điều hoà, sofa (gỗ gụ), bàn ăn 6 người, 2 tủ giầy thông linh, giường, tủ áo,...Chung cư cách trường tiểu học Dịch Vọng B và THCS Dịch Vọng 300m, Vinmart 100m, đi 10m ra đến đường Trần Đăng Ninh.Cư dân tầng trẻ và văn minh.* Ảnh thật.* Giá 4, x tỷ (có thương lượng).* Sẵn sổ đỏ công chứng được luôn.",65.0,2 phòng,1 phòng,,39.5,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0387557 105.7922448
"Bán căn hộ Duplex - Penthouse chung cư Eco Dream City, nhà đẹp ở ngay, view thoáng quanh năm","['Dự án Eco Dream', 'Đường Nguyễn Xiển', 'Xã Tân Triều']",Thanh Trì,Hà Nội,"- Tọa lạc tại vị trí đắc địa: Sát ngay mặt đường Vành đai 3. Tuyến giao thông huyết mạch quan trọng nhất Hà Nội. Đây chính là tuyến Cao tốc đô thị đầu tiên của đất nước ta.- Diện tích 155m², với thiết kế 2 tầng (còn gọi là duplex):+ Tầng 1: 1 ngủ, 1 PK + Bếp + Vệ sinh.+ Tầng 2: 3 PN + 1 WC.- Nhà đẹp ở ngay, view thoáng quanh năm.- Tiện ích xung quanh đầy đủ, không thiếu thứ gì.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán 9,5 tỷ, có thương lượng thêm.* Liên hệ A Hiếu 0932 596 ***cam kết thông tin thật 100%).",155.0,4 phòng,2 phòng,9.5,33.3,,,Sổ đỏ/ Sổ hồng,Đầy đủ,20.983062744140625 105.80908203125
Tôi cần bán gấp tháng này 125m2-3 ngủ giá 7.65 tỷ đủ nội thất chung cư King Palace 109 Nguyễn Trãi,"['King Palace', '109', 'Đường Nguyễn Trãi', 'Phường Thượng Đình']",Thanh Xuân,Hà Nội,"Gia đình tôi chuyển đổi trường học cho các cháu nên cần nhượng lại căn hộ 125m² 3PN dự án Chung cư King Palace 109 Nguyễn Trãi, Quận Thanh Xuân, Hà Nội.- Vị trí vô cùng thuận tiện - căn góc - tầng 16.- DT 125m² TK 3PN.- Nội thất để lại trừ đồ điện.- Giá 7.65 tỷ.Chính chủ 0966 198 ***",125.0,3 phòng,2 phòng,7.65,20.3,Đông - Nam,Tây - Bắc,Hợp đồng mua bán,Đầy đủ,21.000292 105.81601
Chính chủ bán căn 75m2 chung cư Harmony Square Nguyễn Tuân,"['Harmony Square', '199', 'Đường Nguyễn Tuân', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,"Tôi cần bán căn hộ 2PN tại Harmony Square 199 Nguyễn Tuân.- Diện tích: 75m².- Ban công: Tây Nam view hướng Vành Đai 3.- Bàn giao nội thất liền tường của CĐT.Giá bán: 3,9 tỷ.Liên hệ chính chủ: 0941 989 ***MTG).",75.0,2 phòng,2 phòng,3.9,21.5,Đông - Bắc,Tây - Nam,,Bàn giao nội thất liền tường.,20.999851 105.80137
Bán căn hộ chung cư cao cấp đường Phạm Hùng tại vị trí kim cương,"['Dự án Capital Elite', 'Đường Phạm Hùng', 'Phường Mỹ Đình 2']",Nam Từ Liêm,Hà Nội,"Căn hộ cao cấp ngay cạnh bến xe mỹ đình, tuyến Metro Station.Tòa tháp có thiết kế 32 tầng nổi và 4,5 tầng hầm.Đa tiện ích Skybar, vườn thượng uyển, BBQ, bể bơi, trường mầm non, dịch vụ,...Tầng 1 - 9 tiện ích khối đế, văn phòng cho thuê, trung tâm thương mại,...Tầng 10 - 17 căn hộ cho người Việt sổ lâu dài.Tầng 18 - 23 căn hộ cho người NN sổ 50 năm.Tầng 24 - 29 căn hộ dịch vụ khách sạn.Tầng 30 - 31 Penthouse.Tầng 32 Skybar.Đặc biệt giới hạn chỉ có 100 căn duy nhất!Diện tích 105m - 114m - 119m - 127m², thiết kế 3PN + 1 - 2 WC.Giá dự kiến 80 triệu/m².Toàn bộ tiêu chuẩn bàn giao cao cấp chuẩn khách sạn 5 sao.Bàn giao Quý IV/2024.Tiến độ thanh toán linh hoạt,Ngân hàng hỗ trợ vay 70% GTCH, lãi 0%/12 tháng (tính từ ngày giải ngân).Thanh toán sớm 50 - 70% GTCH - Nhận CK 5%.Để biết thêm thông tin về dự án và giá bán. Anh, chị vui lòng.",105.0,3 phòng,2 phòng,8.5,35.8,,,Sổ đỏ/ Sổ hồng,Cơ bản,21.0185661315918 105.781684875488
Căn góc 73m2 - thiết kế 2 ngủ Rivera Park 69 Vũ Trọng Phụng - view bể bơi. Giá 5 tỷ 0966 198 *** MTG,"['Rivera Park Hà Nội', '69', 'Đường Vũ Trọng Phụng', 'Phường Thanh Xuân Trung']",Thanh Xuân,Hà Nội,"Vợ chồng mình chuyển đổi lên căn 3 ngủ nên cần nhượng lại căn góc 2 ngủ dự án Rivera Park 69 Vũ Trọng Phụng, Thanh Xuân, HN.- Diện tích trên sổ: 73.2m².- Thiết kế: 2 ngủ 2 vs.- Hướng cửa: Tây Nam, bc Đông Bắc.- Pháp lý: Đã có sổ.Giá bán: 5 tỷ.Liên hệ chính chủ: 0966 198 *** MTG.",73.2,2 phòng,2 phòng,5.0,27.6,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản,20.999119 105.80844
